name,PLD,desity(g/cm^3),VSA(m^2/cm^3),GSA(m^2/g),Vp(cm^3/g),void_fraction,C/wt%,H/wt%,N/wt%,F/wt%,total degree of unsaturation,metalic percentage,electronegtive-to-total ratio,weighted electronegativity per atom,target
GaFFIVE_1_Cu,7.20324,0.883555,1652.01,1869.74,0.671967,0.59372,44.43293534,2.983158693,10.363369,17.57007963,9.5,10,0.191489362,2.556595745,54.89705526
GaFFIVE_1_Fe,7.17676,0.86839,1645.54,1894.93,0.684197,0.59415,45.07499991,3.026265917,10.5131217,17.8239707,9.5,10,0.191489362,2.516170213,56.37763167
GaFFIVE_1_Ni,7.31092,0.88609,1612.8,1820.13,0.653963,0.57947,44.83539947,3.010179513,10.45723821,17.72922569,9.5,10,0.191489362,2.516170213,53.80225625
GaFFIVE_1_Zn,7.42737,0.87021,1629.92,1873.03,0.676917,0.58906,44.28271477,2.973073116,10.32833213,17.51067803,9.5,10,0.191489362,2.551276596,56.27407025
GaFFIVE_13_Cd_i,4.3938,1.22538,828.073,675.771,0.340696,0.41748,38.45576101,2.151550362,22.42318893,12.67210869,22,8.333333333,0.288135593,2.589491525,31.705026
GaFFIVE_13_Co_i,3.86858,1.26578,137.628,108.73,0.293629,0.37167,41.40998273,2.316835267,24.14576755,13.64559661,22,8.333333333,0.288135593,2.589491525,28.16751398
GaFFIVE_13_Cu_i,3.93623,1.24729,149.699,120.019,0.305382,0.3809,41.13737718,2.301583337,23.98681385,13.55576645,22,8.333333333,0.288135593,2.621694915,29.78303337
GaFFIVE_13_Fe_i,4.05049,1.22899,162.146,131.934,0.310425,0.38151,41.59449609,2.327158552,24.25335554,13.70639824,22,8.333333333,0.288135593,2.589491525,30.58942293
GaFFIVE_13_Ni_i,4.00875,1.25331,155.898,124.389,0.299711,0.37563,41.42426446,2.317634312,24.15409509,13.65030278,22,8.333333333,0.288135593,2.589491525,28.1669157
GaFFIVE_13_Zn_i,4.08047,1.23508,171.12,138.549,0.311396,0.3846,41.02999136,2.295575239,23.92419819,13.5203802,22,8.333333333,0.288135593,2.617457627,30.61275868
GaFFIVE_15_Cd_i,11.17084,0.743466,1722.72,2317.14,0.817455,0.60775,57.34659214,2.887621258,6.687650621,11.33825824,99,5,0.12,2.491466667,66.01428241
GaFFIVE_15_Co_i,10.73752,0.743773,1670.27,2245.67,0.797421,0.5931,61.25670338,3.084510382,7.143640365,12.1113443,99,5,0.12,2.491466667,64.21703506
